text	channel	feedbackRating	reviewDate	positiveTopicClass	negativeTopicClass	model
It vibrates a lot and makes a bitter coffee than it should It vibrates a lot when it starts brewing and the coffee has a more bitter taste than the previous model of the same brand that I had. The delivery of the product was fast	amazon.it	2.0	2020-03-10	Services and Logistics	Coffee Quality, Design and Materials	tiny
Good coffee with elegance Elegant to display in the kitchen or excellent because it makes a good coffee.	amazon.it	5.0	2020-02-11	Coffee Quality, Design and Materials		tiny
All right All right as described	amazon.it	5.0	2020-02-05	Services and Logistics		tiny
Simple and efficient machine Machine working perfectly, it arrived earlier than expected	amazon.it	5.0	2019-09-11	Services and Logistics		tiny
I highly recommend it Great product makes a nice cup of coffee	amazon.it	5.0	2019-07-04	Coffee Quality		tiny
Empty the container below every 5 max 6 coffees because it is filled with water Beautiful compact and very easy to use	amazon.it	5.0	2019-06-09	Design and Materials, User Experience		tiny
Excellent purchase It is a coffee machine that is really easy to use, makes great coffee and can be cleaned in a flash. It also takes up very little space, something of no small importance. In short, I am satisfied with my purchase and I recommend it to everyone.	amazon.it	5.0	2019-05-15	Coffee Quality, Design and Materials, User Experience		tiny
Small, easy and beautiful! Third lavazza in my own way and the best. Excellent very hot coffee, large and easy to clean tank. Satisfied!	amazon.it	5.0	2019-06-27	Maintenance and Durability, Brand Awareness, Coffee Quality, User Experience		tiny
PERFECT It is simply perfect.	amazon.it	5.0	2020-04-11	User Experience		tiny
A deal!! Nice easy to use, any capsule to use ... just a click with a button	amazon.it	5.0	2020-01-11	User Experience		tiny
coneviente The problem of breakfast in the morning solved me: simple to use and fast	amazon.it	5.0	2019-07-07	User Experience		tiny
The capsules are thrown away after each use. Fast shipping, test coffee included with the machine, and a fully functional machine.	amazon.it	5.0	2019-06-13	Services and Logistics		tiny
5-star coffee A great coffee machine. A very convenient price !!! I recommend the purchase.	amazon.it	5.0	2019-05-26	Price & worth, Design and Materials		tiny
Lavazza tiny in my own way Comfortable and small	amazon.it	4.0	2019-01-06	Design and Materials		tiny
Good choice!! Fast and modern practice. In my opinion, superior to the previous Minu.	amazon.it	5.0	2020-01-05	Design and Materials, User Experience		tiny
Not bad for the cost Easy to use and clean, simple, pleasant and with intuitive functions. I recommend it for family use. Choose a good coffee and you will be satisfied.	amazon.it	4.0	2019-05-27	Coffee Quality, Design and Materials, User Experience		tiny
Great Excellent machine even for compatible pods.	amazon.it	5.0	2019-08-23	Capsules and Compatibility		tiny
Great espresso !!! Excellent, good coffee, I'm satisfied !!!	amazon.it	4.0	2020-05-07	Coffee Quality		tiny
Lavazza the top Satisfied good product	amazon.it	5.0	2020-02-19	User Experience		tiny
Functional and very good coffee. Compact and very functional. The very creamy coffee is easy to clean.	amazon.it	5.0	2019-07-07	Coffee Quality, Design and Materials, User Experience		tiny
it vibrates a lot For my use I am fairly satisfied, but the machine vibrates very much and the coffee does not come out hot	amazon.it	3.0	2018-11-22	User Experience	Maintenance and Durability, Machine Performance	tiny
A great coffee machine I am in love with this product .... unbeatable price quality.	amazon.it	5.0	2019-09-28	Price & worth		tiny
Excellent coffee machine I love their line of coffee machines. Before I had the Minu, but I really like this model	amazon.it	5.0	2020-03-15	User Experience		tiny
first use very beautiful and simple to use	amazon.it	4.0	2020-03-24	Design and Materials, User Experience		tiny
recommended Excellent for coffee lovers who have little space	amazon.it	5.0	2020-07-29	Design and Materials		tiny
Simple to use As the title suggests, a machine that is easy to use (purchased for an elderly person).	amazon.it	5.0	2019-05-13	User Experience		tiny
Very simple capsule loading Great price easy to use	amazon.it	5.0	2019-06-06	Price & worth, User Experience		tiny
Surprise gift Great product. Given to the mother who was really happy :smiling_face_with_smiling_eyes:	amazon.it	5.0	2019-05-25	User Experience		tiny
surprise and envy never returned	amazon.it	5.0	2019-04-25		User Experience	tiny
Excellent purchase Easy to use. Coffee is good and hot.	amazon.it	5.0	2019-06-18	Coffee Quality, User Experience		tiny
:thumbs_up_light_skin_tone: Excellent shipping ok	amazon.it	5.0	2019-11-18	Services and Logistics		tiny
Just said Perfect. I won't add anything else.	amazon.it	5.0	2019-05-30	User Experience		tiny
Very intense taste Tested with various pods, a very intense coffee with a strong flavor comes out.	amazon.it	5.0	2020-01-24	Coffee Quality		tiny
Lavazza Jolie coffee machine Lavazza Jolie coffee maker in black with pods ... liked very much and very easy to use.	amazon.it	5.0	2019-04-16	User Experience		tiny
Roberto Quick to heat, the coffee comes out very hot, easy to use and easy to clean. Good product	amazon.it	4.0	2019-04-09	Coffee Quality, User Experience		tiny
Small. Small and very easy to use, even if a little noisy.	amazon.it	5.0	2020-07-16			tiny
A warranty A warranty Excellent coffee	amazon.it	5.0	2020-05-04	Coffee Quality		tiny
Great machine. I recommend it. Very easy to use.	amazon.it	5.0	2018-11-16	Design and Materials, User Experience		tiny
Good product Small and efficient	amazon.it	5.0	2019-08-14	Design and Materials		tiny
exceptional great product, perfect	amazon.it	5.0	2019-11-21	User Experience		tiny
As described Fully functional, as described. very pretty	amazon.it	5.0	2019-07-22	Design and Materials, Services and Logistics		tiny
Small, cute and makes great coffee. Simple to use and clean. Excellent machine and a wonderful coffee even with compatible capsules. It is small and takes up little space. Highly recommended.	amazon.it	5.0	2020-07-11	Coffee Quality, Design and Materials, Capsules and Compatibility		tiny
Tiny coffee machine in my own way Gorgeous!! Super satisfied, easy to use and clean. The taste of coffee in my way is sensational. The price was also very cheap. It came earlier than expected	amazon.it	5.0	2020-06-29	Price & worth, Coffee Quality, Services and Logistics, User Experience		tiny
Poor Coffee maker that vibrates a lot.	amazon.it	1.0	2020-03-04		Maintenance and Durability	tiny
Lavazza capsules not appreciated The excellent coffee machine, but the Lavazza capsules are not to my liking. Little creaminess	amazon.it	5.0	2020-01-26	Coffee Quality		tiny
fantastic Excellent quality in relation to the price, excellent coffee, excellent convenience of the machine and cleaning.	amazon.it	5.0	2020-07-01	Price & worth, Coffee Quality, User Experience		tiny
Not bulky great coffee The machine amazed me .. it makes great coffee and is very space-saving	amazon.it	5.0	2019-03-25	Coffee Quality, Design and Materials		tiny
Quite happy with the purchase Good purchase even if a little noisy, but all in all with good capsules, coffee is excellent. I recommend the purchase.	amazon.it	5.0	2019-11-08	Coffee Quality, Design and Materials		tiny
Speed Order arrived in one day .... top !!!	amazon.it	5.0	2019-06-25	Services and Logistics		tiny
Perfect Fantastic coffee machine, I went from a Lavazza espresso point machine to this one, the coffee is very good nice warm and creamy Highly recommended	amazon.it	5.0	2020-07-03	Coffee Quality, Design and Materials		tiny
Tinny coffee machine Nothing to say, small beautiful aesthetically and makes an excellent coffee. Arrived quickly. Super Amazon	amazon.it	5.0	2020-05-20	Coffee Quality, Design and Materials, Services and Logistics		tiny
Lavazza He makes coffee like all the machines, but I always prefer the mocha	amazon.it	3.0	2020-01-19	Design and Materials		tiny
Great product Excellent value for money	amazon.it	5.0	2018-12-08	Price & worth		tiny
Bar Coffee Small big car. Makes a great coffee.	amazon.it	5.0	2019-07-28	Coffee Quality, Design and Materials		tiny
Good purchase Small and compact, it takes up little space in the kitchen, works very well.	amazon.it	5.0	2020-03-07	Design and Materials		tiny
More than satisfied Really satisfied ... arrived early ... it works great and good coffee ... surprised even by the 9 free capsules ..	amazon.it	5.0	2019-04-03	Coffee Quality		tiny
Lavazza my way Tiny. I am very satisfied, the only drawback is that the coffee cup tends to slide forward when the coffee is delivered. I don't know if it's a machine defect or something.	amazon.it	4.0	2019-03-14			tiny
Great easy to use	amazon.it	4.0	2019-08-11	User Experience		tiny
Council Fantastic. Small, easy to use and clean.	amazon.it	5.0	2019-06-21	Design and Materials, User Experience		tiny
Good purchase It's my second Lavazza. The first one broke after two years was flawless This has a different design but the same functionality	amazon.it	5.0	2018-12-18	Brand Awareness	Maintenance and Durability	tiny
Excellent value for money Excellent value for money, easy, comfortable, takes up little space, coffee is good enough ideal ..	amazon.it	5.0	2019-09-08	Price & worth, Design and Materials, User Experience		tiny
Wonderful Perfect !!!!!	amazon.it	5.0	2020-06-07	User Experience		tiny
My way Excellent function / price ratio	amazon.it	5.0	2019-09-19	Price & worth		tiny
Excellent quality price Practical and functional despite the reduced price	amazon.it	5.0	2019-07-16	Price & worth, User Experience		tiny
Good and fast Good taste, it also works with compatible pods that are quick to use, easy to clean	amazon.it	5.0	2020-04-08	Coffee Quality, User Experience, Capsules and Compatibility		tiny
Almost perfect Efficient and well-known machine, shame about the cup / drain water support that, being mobile, does not fit perfectly, turning the cup into a spinning top.	amazon.it	4.0	2019-07-12	Machine Performance	User Experience	tiny
To try Machine still does try but very beautiful and small	amazon.it	5.0	2020-04-16	Design and Materials		tiny
Five Stars All perfect !!!!	amazon.it	5.0	2020-06-12	User Experience		tiny
Perfect Excellent machine, easy to use, arrived in a day	amazon.it	5.0	2020-04-06	Services and Logistics, User Experience		tiny
Gorgeous Very compact and very useful even when camping. It is really very compact. Great coffee	amazon.it	5.0	2020-06-29	Coffee Quality, Design and Materials		tiny
Convenient and practical Comfortable spacious practice	amazon.it	5.0	2019-05-23	Design and Materials		tiny
Good and cheap Definitely an excellent coffee but the version with the basket that collects the exhausted capsules is preferred	amazon.it	4.0	2020-03-15	Coffee Quality, Capsules and Compatibility		tiny
perfect, great coffee excellent coffees especially with lavazza pods, really delicious. I highly recommend	amazon.it	5.0	2019-07-05	Coffee Quality, Design and Materials		tiny
Great It is pretty aesthetically and not bulky. Heat the water in seconds. The taste of coffee is very good and you can decide how long to do it. Also easy to clean.	amazon.it	4.0	2019-11-15	Coffee Quality, Design and Materials, User Experience		tiny
Good coffee Simple coffee good .. Only slightly noisy	amazon.it	4.0	2019-02-28	Coffee Quality	Machine Performance	tiny
satisfied As in the picture.Arrived in advance and well packaged.In the box there are also 9 or 12 capsules (I don't remember well). The coffee is nice foamy, easy to use. I use compatible capsules and the coffee is very good.	amazon.it	4.0	2019-05-29	Coffee Quality, User Experience, Services and Logistics, Capsules and Compatibility		tiny
Good Product quality price ok	amazon.it	4.0	2019-09-13	Price & worth		tiny
Tucci Simple and practical machine. All right. Until next time	amazon.it	5.0	2018-12-06	User Experience		tiny
I prefer Minu Honestly I thought it was better ... a lot of vibrations before it starts dispensing the coffee ... a slightly larger cup doesn't pass and you have to remove the water collecting drawer ... much better Minu.	amazon.it	3.0	2019-05-11		Maintenance and Durability	tiny
Fantastic! As per description!	amazon.it	5.0	2019-07-05	Services and Logistics		tiny
I recommend it Satisfied! Small compact excellent coffee	amazon.it	5.0	2019-09-14	Coffee Quality, Design and Materials		tiny
Good value for money Good car everywhere. Capsules too expensive	amazon.it	4.0	2020-01-14	User Experience		tiny
Just the quality and price ratio I really liked it because it doesn't have the capsule collection drawer that you often don't realize if it's full every time you make your coffee and it's simple	amazon.it	5.0	2019-07-10	Capsules and Compatibility		tiny
Simple Excellent and simple to use product arrived even before the estimated time ...	amazon.it	5.0	2020-05-09	Services and Logistics, User Experience		tiny
I can only say Excellent purchase	amazon.it	4.0	2019-06-22	User Experience		tiny
Excellent Excellent in everything	amazon.it	5.0	2019-06-23	User Experience		tiny
Excellent value for money... Excellent value for money, excellent coffee machine for those with limited space in the kitchen. The only flaw, it vibrates a lot during dispensing so as to move the glass. Maybe some rubber is missing.	amazon.it	3.0	2020-01-16	Price & worth, Design and Materials	Maintenance and Durability	tiny
Lavazza A Modo Mio Machine easy enough to use, handy and light	amazon.it	4.0	2019-06-17	User Experience		tiny
Good coffee Functional great coffee easy to use	amazon.it	5.0	2019-07-22	Coffee Quality, User Experience		tiny
Excellent product The perfect coffee. Arrived on time.easy to use and clean.the advice	amazon.it	5.0	2019-09-20	Coffee Quality, Services and Logistics, User Experience		tiny
Perfect Fast delicious coffee	amazon.it	5.0	2019-09-07	Coffee Quality		tiny
Great Fantastic, small, easy to use, it arrived in less than 12 hours	amazon.it	5.0	2019-06-28	Services and Logistics, Design and Materials, User Experience		tiny
Perfect, very fast shipping Excellent product, compliant with the description, free trial capsules	amazon.it	5.0	2020-01-25	Services and Logistics, Capsules and Compatibility		tiny
Recommended! Very small. Very fast. Very practical. Also easy to clean. Great buy!	amazon.it	5.0	2019-05-15	Design and Materials, User Experience	Design and Materials	tiny
maker item arrived as per the date of suggestion and in accordance with the request	amazon.it	5.0	2019-03-04	Services and Logistics		tiny
rating excellent shopping is worth it	amazon.it	5.0	2019-05-30	Price & worth		tiny
Excellent purchase Easy to use (it only has a button at the top that serves both to make coffee and to turn on the machine), it turns itself off and remains fairly clean. Aesthetically it appears small and compact and is very pretty	amazon.it	4.0	2019-08-12	Design and Materials, Machine Performance, User Experience		tiny
it.enel beautiful and simple	amazon.it	5.0	2020-05-11	Design and Materials, User Experience		tiny
satisfied It is practical and easy to use. Does his duty	amazon.it	4.0	2019-01-04	User Experience		tiny
Great The best purchase on amazon	amazon.it	5.0	2020-04-03	Services and Logistics		tiny
Convenient and practical to use Great coffee. Used with original and compatible capsules	amazon.it	5.0	2019-01-07	Coffee Quality		tiny
A confirmation Bought in replacement of a Lavazza in my own way Minu the coffee is a little warmer and the machine is certainly quieter while the dimensions remain practically the same	amazon.it	5.0	2020-01-27	Design and Materials, Machine Performance		tiny
great purchase Easy to use and clean. Good coffee	amazon.it	5.0	2020-02-21	Coffee Quality, User Experience		tiny
Great product, just a little noisy I would say that as a quality it is an excellent coffee machine. Quick and easy to use. Definitely pleasant taste (obviously it also depends on the waffles used), fantastic creaminess. The only flaw I find is the noise it emits, I would say a little annoying with some vibration on the back water cover.	amazon.it	4.0	2020-05-11	Coffee Quality, User Experience	Maintenance and Durability, Machine Performance	tiny
Great. Excellent machine, if you consider the price, I think it is difficult to imagine something better. Clearly the flavor depends on the type of waffles used. But the extraction is excellent.	amazon.it	5.0	2020-03-21	Price & worth, Machine Performance		tiny
Good quality at the right price Very practical. What I was looking for	amazon.it	5.0	2019-02-03	User Experience		tiny
"purchase of quality capsules The ""my way"" capsules are excellent in quality / price ratio"	amazon.it	5.0	2020-02-11	Price & worth		tiny
Top Lavazza quality both in coffee and in the machine .. undoubtedly superior to the most famous nespressso	amazon.it	5.0	2020-04-25	Brand Awareness, Design and Materials		tiny
lavazza tiny my way great product, arrived on the day set by amazon, which is a guarantee, easy to use and good taste of coffee	amazon.it	5.0	2020-04-17	Coffee Quality, Services and Logistics, User Experience		tiny
Excellent coffee machine Fast delivery, new design and also the good taste of coffee. recommended	amazon.it	5.0	2020-01-23	Coffee Quality, Design and Materials, Services and Logistics		tiny
coffee maker handy and simple.	amazon.it	3.0	2019-06-01	User Experience		tiny
Wonderful Perfect !!!!!	amazon.it	5.0	2020-02-09	User Experience		tiny
Great Great product!. Convenient practical and not at all cumbersome. Arrived in a short time	amazon.it	5.0	2019-01-17	Services and Logistics, User Experience		tiny
Excellent purchase To say the least fantastic, those like me who adore the taste of good coffee in the morning found it works very well are now, functional and minimal in size, delivery on time	amazon.it	5.0	2019-07-25	Coffee Quality, Design and Materials, Services and Logistics		tiny
Great gift Purchased for a gift, he looked great !!! Simple and practical to use. Small so don't need too much space	amazon.it	5.0	2019-03-28	Price & worth, Design and Materials, User Experience		tiny
I do not recommend the purchase Disappointed. It costs little and is worth little	amazon.it	1.0	2020-07-10	Price & worth	User Experience	tiny
Noisy. Noisy but valid.	amazon.it	4.0	2019-07-11		Machine Performance	tiny
Good product Nothing to laugh good price easy to use and it works great	amazon.it	5.0	2019-09-17	Price & worth, User Experience		tiny
Excellent In my opinion it is the top! Cheap price, easy to use and after MONTHS everything is perfect!	amazon.it	5.0	2020-06-10	Price & worth, User Experience		tiny
Excellent product Great product	amazon.it	5.0	2018-11-11	User Experience		tiny
Punctual delivery. Satisfied with quality, price and on-time delivery.	amazon.it	5.0	2020-07-25	Price & worth, Services and Logistics		tiny
Helpful Very beautifull. Received quickly.	amazon.it	5.0	2019-08-08	Design and Materials, Services and Logistics		tiny
FABULOUS Fabulous ... excellent quality price! It is very comfortable, very easy to clean, small with a better design, in my opinion, compared to the previous lodge but above all the more I use the more the coffee is creamy. I bought the Bourbon pods compatible with lavazza in my own Tiny way .. I am fine !!!	amazon.it	5.0	2019-07-14	Price & worth, Coffee Quality, Design and Materials, User Experience		tiny
Great Great product for now that I have just started using it, arrived a day early with great satisfaction immediately put to work. For now I can say that it is as described. I reserve the right to re-judge you in a few months.	amazon.it	5.0	2020-05-04	Services and Logistics		tiny
Coffee machine my way Excellent coffee, even for compatible pods ... The only thing you have to manually stop the coffee length.	amazon.it	5.0	2020-06-10	Coffee Quality, Capsules and Compatibility	User Experience	tiny
Tasty coffee and extreme practicality and elegance Purchased to replace the old model, I find it extremely convenient, fast and gives a coffee with a good flavor. In addition, the greater capacity, compared to the Minou model, makes it much more practical and is also more pleasing to the eye, I certainly recommend it.	amazon.it	5.0	2020-02-27	Coffee Quality, Design and Materials, User Experience		tiny
Comfortable space-saving Nice little cumbersome coffee machine easy to use. Very fast delivery times.	amazon.it	5.0	2020-05-09	User Experience, Services and Logistics		tiny
practicality Very practical	amazon.it	4.0	2019-07-19	User Experience		tiny
"Small and unstoppable After years of honorable service, my old ""minu"" had some sporadic power-on problems. I immediately hurried to buy a new small Lavazza machine. The machine comes in a box that includes, in addition to the manuals, a set of tasting pods. The glossy black color is very elegant. The coffee is switched on and dispensed with a single button on the top. When switched on, the flashing indicates the heating phase, the steady light indicates that the machine is ready and warm. I chose the Tiny instead of the Jolie because I prefer not to have the waffle drawer worn out. I prefer to have everything in order and clean, in order to avoid that some careless person in the house (including me), puts another capsule in a full drawer and everything jams. Ultimately, I would buy back with my eyes closed because: - is small - delivers hot and creamy coffee (the use of compatible capsules that I prefer is also fine) - easy to clean. The only drawback, negligible: - moves a little during the brewing phase and is also a bit noisy"	amazon.it	5.0	2020-04-03	User Experience, Design and Materials, Coffee Quality, Maintenance and Durability, Capsules and Compatibility	Machine Performance	tiny
Good value for money Small, practical, inexpensive	amazon.it	4.0	2019-05-29	Price & worth, Design and Materials, User Experience		tiny
Lavazza in my own way Super fast delivery, the machine is beautiful as expected, easy to use, coffee is great.	amazon.it	5.0	2019-08-01	Design and Materials, Coffee Quality, User Experience, Services and Logistics		tiny
Good Good coffee	amazon.it	5.0	2018-11-19	Coffee Quality		tiny
Well done! Good	amazon.it	5.0	2019-01-06	User Experience		tiny
Small and practical Purchased for my neighbor, it makes a great coffee, is practical and doesn't take up much space in the kitchen!	amazon.it	5.0	2020-07-05	Coffee Quality, Design and Materials, User Experience		tiny
lavazza my way great product only VERY NOISY	amazon.it	3.0	2020-01-16	User Experience	Brand Awareness	tiny
Poor and defective machine I bought this plot by listening to my brother's advice. However, the article certainly did not stand out as being of quality and efficiency. He has always made a coffee, barely acceptable (certainly not a delicacy). And now, after only a few months, the amcchina often has to make coffee! there is very little (drops) and smells of burning. It makes sense to count that now it also loses water from below and puddles on the top of the kitchen, that half is enough !!! I strongly advise against purchasing and if you have someone who really dislikes you, this is the perfect pattern to give !!!	amazon.it	1.0	2020-01-14	Design and Materials	Maintenance and Durability, Coffee Quality, Design and Materials	tiny
Practical count. Small in size, very easy to use: one button only. It turns off by itself.	amazon.it	5.0	2019-07-28	Design and Materials, User Experience	Machine Performance	tiny
Great Great car	amazon.it	5.0	2020-01-15	User Experience		tiny
I turned around Spectacular coffee machine. After switching on it is ready to make coffee after 7/8 seconds. The coffee comes out good (it also depends on the pods you use) and hot (but fortunately not hot) .. It saved my life from boredom to clean (and a lot of time) and prepare the coffee maker just to make coffee for one person ... great	amazon.it	5.0	2020-01-18	Coffee Quality, Machine Performance, User Experience		tiny
"Good coffee at a great price My old woman In my own way, she broke down in full lockdown, a tragedy to give up on coffee too. I ordered this ""little girl"" available on the fly and I must say that I can be happy with the purchase. The only drawback but still surmountable if you don't make coffee like a bar, the noise and the vibration. Excellent coffee."	amazon.it	4.0	2020-06-24	Coffee Quality	Maintenance and Durability, Machine Performance	tiny
"A fantastic coffee machine! I purchased this coffee maker for use in the office. I had previously purchased a Lavazza ""A Modo Mio"" product that was cumbersome, so I was pleasantly surprised by the ease of use of this machine. Absolutely recommended!"	amazon.it	5.0	2020-01-19	Design and Materials, User Experience		tiny
Great Everything perfect, from the very first coffee ... I already knew the machines my way. The number 1 capsule espresso	amazon.it	5.0	2020-05-31	Coffee Quality		tiny
Function I liked everything	amazon.it	5.0	2019-02-25	User Experience		tiny
Cute and compact Valid product, not bulky and senplice. Good value for money. I'm satisfied for now	amazon.it	4.0	2019-05-06	Price & worth, Design and Materials		tiny
Wonderful Perfect !!!!!	amazon.it	5.0	2018-11-13	User Experience		tiny
is the second ... the first abandoned me after three years of use (it can fit). This is the second purchase that works well after one year. Do not use too calcareous water (the first one supposedly broke for this reason)	amazon.it	5.0	2020-04-18	Machine Performance		tiny
Good product. Satisfied. Only I expected it to be less noisy.	amazon.it	5.0	2019-06-03	User Experience	Machine Performance	tiny
Good Practicality and cost	amazon.it	5.0	2019-06-19	Price & worth, User Experience		tiny
Great good coffee machine, easy to use	amazon.it	5.0	2019-04-11	User Experience		tiny
Fantastic and great price The best in my opinion, having the drawer in front of the coffee comes out directly maintaining all the taste. A little 'noise is normal they all do and this does very little	amazon.it	5.0	2020-04-11	Coffee Quality	Machine Performance	tiny
Highly recommended !!! Aesthetically it is very beautiful, Small in size, excellent value for money and finally I found a machine that makes a boiling coffee !!!	amazon.it	5.0	2019-06-20	Price & worth, Design and Materials		tiny
Delivery in a short time Super happy Exceptional Super happy	amazon.it	5.0	2019-06-20	User Experience		tiny
returned The machine is nice and small and very easy to use, but we like hot coffee and it comes out just warm. I don't think it's a problem with the machine I received, but I think more that the problem is that the water is heated when the coffee is made and it doesn't have time to get hot. ultimately did not satisfy me and I made it	amazon.it	2.0	2020-01-12	Design and Materials, User Experience	Machine Performance	tiny
Fast, practical and easy to use. Once the light stops flashing, wait for a few more seconds to have the coffee even hotter than at the bar. Great product.	amazon.it	5.0	2018-10-28	User Experience		tiny
Compatibility Good morning and compatible with the capsules pop coffee mocha one?	amazon.it	4.0	2020-05-11	Capsules and Compatibility		tiny
Excellent experience Machine very simple to use and clean after use, the small size is really a plus, plus inside you will find a package with a selection of Lavazza coffee, the only negative note if you want to find it is the too vibrate of the coffee machine (especially compared to the old Minù) to brew coffee which, if a plastic cup is used, causes it to fall from the base, after removing this creaminess of the coffee, excellent even with compatible pods	amazon.it	5.0	2020-06-27	Design and Materials, User Experience, Capsules and Compatibility	Maintenance and Durability, Capsules and Compatibility	tiny
Lavazza Only very valid button	amazon.it	5.0	2019-01-28	User Experience		tiny
Good product Excellent product, certainly for the price it has .... of course	amazon.it	4.0	2020-01-22	Price & worth		tiny
satisfied satisfied	amazon.it	5.0	2019-06-15	User Experience		tiny
As expected Great product arrived on time,	amazon.it	5.0	2019-05-24	Services and Logistics		tiny
Good purchase. Everything ok.	amazon.it	4.0	2020-01-27	Coffee Quality		tiny
He does his Great. Does his duty. It works perfectly even with compatible capsules. Easy to clean.	amazon.it	5.0	2019-08-18	User Experience, Capsules and Compatibility		tiny
Gdhj. Ffjv gfghh.	amazon.it	5.0	2019-07-15		Brand Awareness	tiny
Perfect Small .. but big	amazon.it	5.0	2019-06-29	Design and Materials		tiny
lavazza in my own way Excellent coffee machine, small footprint, excellent quality I highly recommend to anyone who wants an appliance that is not too bulky Satisfied 10 and praise	amazon.it	5.0	2018-05-10	Design and Materials		tiny
Shdjfjfj. Good product.	amazon.it	4.0	2018-11-25			tiny
EXCELLENT VALUE FOR MONEY CONFIRM ALL EXPECTATIONS !!!	amazon.it	4.0	2019-01-21	User Experience		tiny
Great. How I wanted it is!	amazon.it	5.0	2019-01-01	User Experience		tiny
Top Top product	amazon.it	5.0	2019-12-21	User Experience		tiny
Excellent Everything ok	amazon.it	5.0	2020-06-03	Coffee Quality		tiny
Good quality Best quality	amazon.it	5.0	2020-02-24	Design and Materials		tiny
Great article Excellent coffee machine and very good I ordered 2 one for home and the other for the shop fast and accurate delivery of amazon .. I use Lavazza gold quality .... coffee is a pleasure .. if it is not good what a pleasure it is I recommend it ....	amazon.it	5.0	2020-07-08	Brand Awareness, Design and Materials, Services and Logistics		tiny
Council !!! Arrived after two days. It works great!	amazon.it	5.0	2019-07-14	Machine Performance	Services and Logistics	tiny
I am very satisfied. Very good product, I recommend buying it.	amazon.it	5.0	2019-03-25	Design and Materials		tiny
Tiny coffee machine Good product taken for my mom easy to use.	amazon.it	4.0	2019-07-27	User Experience		tiny
Great Excellent coffee machine, paid 10 € less than in the shop. Advice	amazon.it	5.0	2020-02-05	Price & worth		tiny
My way Easy to clean, to use. Creamy coffee	amazon.it	5.0	2020-01-06	Coffee Quality, User Experience		tiny
Excellent excellent excellent Very easy to use and to clean, excellent product recommended, I am very happy	amazon.it	5.0	2018-11-20	Design and Materials, User Experience		tiny
Great Product arrived in perfect condition, it's really a great gift to make and it's very easy to use. I absolutely recommend!	amazon.it	5.0	2019-03-26	Services and Logistics, Design and Materials, User Experience		tiny
The car Everything ok	amazon.it	5.0	2020-02-02	Coffee Quality		tiny
Good capsule coffee machine. Excellent capsule coffee machine. Fast delivery, the only flaw in the shop on offer was a little cheaper.	amazon.it	5.0	2020-01-19	User Experience		tiny
excellent product, price and quality. Recommended excellent product, price and quality. Recommended	amazon.it	5.0	2020-06-17	Price & worth, Design and Materials		tiny
Excellent product with simple operation Simple, space-saving. No negativity to report	amazon.it	4.0	2019-11-20	Design and Materials		tiny
Recommended! A practical and nice coffee machine! The taste of the coffee is very good and I am very happy with it	amazon.it	5.0	2020-01-26	Coffee Quality, User Experience		tiny
excellent beautiful and well done	amazon.it	5.0	2019-08-03	Design and Materials		tiny
satisfied Simply perfect, not bulky does its job very well. Good and creamy coffee ... a bomb!	amazon.it	5.0	2020-05-09	Coffee Quality, Design and Materials		tiny
it is quite a toy, however it's a toy of course, I don't know how long it will last, but for that reason I think it's inevitable. The really hateful thing is that it does not have the cup stopper, so when the coffee comes down, the machine vibrates and moves the glass .... which then must be kept in the correct position so that everything does not come out	amazon.it	3.0	2018-11-20		Maintenance and Durability	tiny
Compact and easy to use Very small and easy to use coffee machine. The price / quality ratio is also excellent. Delivered very quickly and well packed, I would definitely recommend it	amazon.it	5.0	2020-01-17	Price & worth, Services and Logistics, Design and Materials, User Experience		tiny
recommended Easy to use, very little time for heating water, not bulky, excellent purchase	amazon.it	5.0	2020-02-06	Design and Materials, User Experience		tiny
Very fast delivery. All as described. Excellent service. Congratulations. Very fast delivery. All as described. Excellent service. Congratulations.	amazon.it	5.0	2019-06-26	User Experience, Services and Logistics		tiny
Lavazza a Modo Mio Tiny Excellent, simple to use, inexpensive, compatible with many capsules on the market. Stra recommended !!	amazon.it	5.0	2020-03-14	Design and Materials, User Experience, Capsules and Compatibility		tiny
Perfect and great coffee Very easy to use excellent coffee	amazon.it	5.0	2020-07-20	Coffee Quality, User Experience		tiny
Great Excellent coffee machine, very simple to use and compatible with all capsules in the manner of any brand	amazon.it	5.0	2019-09-22	User Experience, Capsules and Compatibility		tiny
Great Small, cute, simple to use. Decent coffee with Bourbon pods	amazon.it	5.0	2020-01-13	Coffee Quality, Design and Materials, User Experience		tiny
Coffee Very noisy and the coffee does not come out as good as the old MIA.	amazon.it	3.0	2020-01-11		Design and Materials, Coffee Quality, Machine Performance	tiny
We hope to last at least 2 years Normal car, a bit cheap. It works	amazon.it	4.0	2019-03-04	Machine Performance	Price & worth	tiny
I can only say Excellent purchase	amazon.it	5.0	2019-05-12	User Experience		tiny
5 stars Great advice product	amazon.it	5.0	2020-01-09	Design and Materials		tiny
It's fine. It is simple to use Great product. Delicious coffee	amazon.it	5.0	2019-03-30	Coffee Quality		tiny
Good product Arriving on schedule, it makes a good coffee, easy to use and clean	amazon.it	5.0	2019-05-23	Coffee Quality, Services and Logistics, User Experience		tiny
