text	positiveTopicClass	negativeTopicClass
Great product Comfortable and easy to use and clean	User Experience, Maintenance and Durability	NONE
It is an excellent coffee machine. It works fine. It is easy to use, comfortable and can be cleaned in an instant. Then he makes an excellent coffee.	Coffee Quality, Machine Performance, User Experience, Maintenance and Durability	NONE
Lavazza A Modo Mio coffee machine Wonderful machine easy to use, it takes up very little coffee space. I use Bourbon capsules a really good coffee comes out	Design and Materials, User Experience, Coffee Quality, Capsules and Compatibility, Machine Performance	NONE
coffee Good product, good value for money	Price & worth, Machine Performance	NONE
Lavazza coffee machine in Modo Mio Tiny Arrived a day early thanks amazon.Ottimo product already put it to the test, takes up little space, easy to use, a little bit noisy but I think it was worth it to buy it.	Design and Materials, Machine Performance, User Experience, Services and Logistics, Price & worth	Machine Performance
Good product Excellent value for money ... to recommend!	Price & worth, Machine Performance	NONE
Good Good very economical machine ideal for second places beyond the house. Nothing more!	Price & worth, Machine Performance	NONE
Good Arrived quickly the product is excellent even if a little expensive	Machine Performance, Services and Logistics, Price & worth	NONE
ALL PERFECT The machine arrived in 24 hours without charge, it works perfectly, comfortable and practical	Machine Performance, Services and Logistics, User Experience	NONE
Touch of color Let's say that it is really basic, of all the Lavazza machines it is the least pretentious, small but perfect for those like me who have little space in the kitchen and very easy to use colored and does not detract from the quality of the coffee	Design and Materials, User Experience, Coffee Quality	NONE
Good product. Very comfortable, compact, it takes up very little space and makes an excellent coffee that is easy to use and clean, a really nice purchase. With Amazon also arrived early	Design and Materials, Coffee Quality, User Experience, Maintenance and Durability, Services and Logistics	NONE
Great Very pretty and easy to clean, I recommend it!	Design and Materials, Maintenance and Durability, User Experience	NONE
Excellent and the second one I buy Excellent for those who love the cafe type bar .. creamy and tasty..excellent lavazza pods..but I also enjoyed the Bourbons..simple and functional machine ..	Coffee Quality, Brand Awareness, Machine Performance, User Experience, Capsules and Compatibility	NONE
Perfect !!! Lavazza coffee machine in my perfect way. Purchased because its previous model has abandoned me, I must say that compared to the first this machine and much more efficient is easy to use. There rabbit for anyone who wants a complete and easy to use machine.	Machine Performance, User Experience, Brand Awareness	NONE
Cialdamente Delivery as scheduled by Amazon. Easy to use, easy to find compatible capsules, the flavor cannot be evaluated because in my opinion it depends on your tastes with respect to the quality and type of capsule product that you consume. While changing the brand, type, quality of coffee used, there is always the right creaminess.	User Experience, Capsules and Compatibility, Services and Logistics, Coffee Quality	NONE
good result good result	NONE	NONE
Great coffee, great price! Excellent coffee machine, practical, small and very simple. The package also included 9 different pods.	Coffee Quality, Price & worth, Design and Materials, Machine Performance, Capsules and Compatibility	NONE
noisy While being compact, easy to use and delivering a coffee with a better flavor to my previous Lavazza in my own way (different model), I do not like the noise during the brewing and the vibrations that caused the capsule drawer underneath to move. In addition, the orange color is bright and I preferred it more dull as red.	Design and Materials, Coffee Quality, User Experience	Machine Performance, Design and Materials
Good product It was a gift. Very nice as per photo and fast shipping	Services and Logistics, Design and Materials	NONE
Simplicity and robustness I had seen her at a friend's house and I was struck by the extreme simplicity, robustness and, of course, the fact that she made excellent coffees. I bought two (one for me and one for a gift). The price seems quite accessible to me. recommended	Machine Performance, Coffee Quality, Price & worth, User Experience	NONE
Thanks Amazon And a nice car and make good coffee	Services and Logistics, Coffee Quality, Machine Performance	NONE
Everything in a small space! Great for me I still had the very first model released and the opening was more decisive. Or so it seemed to me. We'll see, it only came yesterday morning. Thanks Amazon! Without coffee I fall asleep on the pc other than smartworking. 4/13 the taste with use is now excellent. And throwing the capsules away every time is great. Thanks again.	Design and Materials, User Experience, Services and Logistics, Coffee Quality, Maintenance and Durability	NONE
SMALL BUT LARGE POD MACHINE I am using this 15 days coffee machine ... what to say, compact it heats up in 20 seconds easy to use, after various tests I purchased the compatible vergnano coffee pods and I found an excellent compromise ... highly recommended .... .	Machine Performance, User Experience, Capsules and Compatibility	NONE
Ok Intuitive and compact, it makes its own	Design and Materials, User Experience, Machine Performance	NONE
Excellent in everything! Very convenient, easy to use and makes excellent coffee.	User Experience, Coffee Quality, Machine Performance	NONE
Small but nothing is missing. I waited before reviewing why the impact did not convince me much. I changed my mind ... simple to use, little space, furnish and, importantly, coffee is excellent!	Design and Materials, User Experience, Coffee Quality	NONE
To be placed on a well stable surface excellent machine. to be placed on a well-stable surface to avoid flickering. Creamy coffee depending on the type of capsule used. Arrived on time.	Coffee Quality, Machine Performance, Services and Logistics	Machine Performance
Perfect Excellent article as described, also arrived early	User Experience, Services and Logistics	NONE
Good and creamy coffee Taken for work needs in this quarantine period ... But I had to change my mind. Very good and creamy	Coffee Quality	NONE
Good Excellent product, the packaging was open though.	User Experience	Services and Logistics
Lavazza tiny I already had a lavazza minu machine and now I have taken lavazza tiny, simple but functional	Brand Awareness, Machine Performance, User Experience	NONE
satisfied Fast and accurate delivery! Simple to use and takes up little space. Little nothing noisy. Very happy with the purchase.	Services and Logistics, User Experience, Design and Materials	Machine Performance
top quality price the car is excellent. all competitive prices beat them all.	Price & worth, Machine Performance	NONE
Excellent purchase Small, fast, it's ready in an instant and if you forget it, it goes off by itself.	Machine Performance, User Experience	NONE
WE LIKE IT We already have a Lavazza coffee machine in my own way. It is very beautiful, easy to install and above all the coffee is very good.	Brand Awareness, Design and Materials, Coffee Quality, User Experience	NONE
What I wrote. I liked the very small size, I didn't like the dripping way of spilling coffee and the strong vibrations during operation.	Design and Materials	Machine Performance
Coffee machine I liked everything I am also satisfied with the color one of my favorites	Design and Materials, User Experience	NONE
Good coffees are made Compact and functional machine, there is no spout to froth the milk ... you can also understand it from the presentation, and this for me, a little limits it, but it is simple and easy to clean. Its use is simple, you do everything with a button, you just need to understand the meaning of the light on the button. Excellent value for money. Coffee makes it really good.	Coffee Quality, Design and Materials, Machine Performance, User Experience	User Experience
essential and effective great simplicity, excellent performance.	Machine Performance, User Experience	NONE
Excellent product Great product	User Experience	NONE
Good quality coffee maker This coffee machine satisfies me in full, not only does it make good coffees with a nice creamy sauce, very good are also the barley and coffee-ginseng of the Lavazza pods	Coffee Quality, Capsules and Compatibility, Machine Performance	NONE
:hundred_points: Extremely fast. Nice machine	Machine Performance, Design and Materials	NONE
Easy to use and aesthetically beautiful The capsule is inserted in the drawer you pull it and put the new one. It does not have a drawer like the old version. I recommend it	User Experience, Design and Materials	NONE
Quality product Great product design functionality come together giving an efficient product use my favorite capsules and the coffee is really very good really good product	Machine Performance, Design and Materials, Coffee Quality, Capsules and Compatibility	NONE
Great Excellent product, of excellent quality. Delivered as planned	Machine Performance, Services and Logistics	NONE
:thumbs_up: Perfect and comfortable	User Experience	NONE
Recommended Corresponds to the description	NONE	NONE
Great product Easy to use and clean, delicious coffee, silent and heats up in seconds. Advice	Machine Performance, User Experience, Coffee Quality	NONE
RECOMMENDED Purchased for me and also as a gift Value for money EXCELLENT	Price & worth	NONE
Easy to use, practical and simple to clean, quiet, modern design with small size. A machine with a compact and modern design. The orange color is very beautiful because it is shiny and easy to clean. The machine is fairly quiet, simple to use, it has a single button to turn the machine on and off as well as to dispense and stop coffee dispensing. The machine does not have an internal capsule collection container but this may seem like a disadvantage on the one hand, but on the other it is not because since the capsule must be thrown away immediately after the coffee has been dispensed, this allows you to always keep the machine clean. without leaving bad smells. The transparent tank allows you to keep the water level under control. The Lavazza warranty service is also excellent, with the free replacement of the machine with a new one during the two-year warranty. The courier comes directly to the house to collect the faulty machine and at the same time brings the new one. I am really happy with the purchase. The package arrived in excellent condition and faithfully respected delivery times.	User Experience, Maintenance and Durability, Design and Materials, Machine Performance, Services and Logistics	NONE
Above expectations :thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone: Small, compact but functional! It is comfortable and fast! Warm up soon! Recommended because it has an excellent quality / price ratio !!	Machine Performance, User Experience, Price & worth, Design and Materials	NONE
Coffee machine Coffee machine very easy to use and also to clean, it takes up little space and the coffee tastes good	User Experience, Maintenance and Durability, Design and Materials, Coffee Quality	NONE
Lavazza coffee machine in my own way Excellent product Comoda is very functional	User Experience, Machine Performance, Brand Awareness	NONE
Great very valid	Machine Performance	NONE
Excellent coffee flavor. Small and compact size. It works very well. Leave the coffee flavor intact. Large water tank. Quiet in operation. Satisfied with the purchase.	Coffee Quality, Design and Materials, Machine Performance, User Experience	NONE
Nice and easy to use Nice compact and easy to use. A little noisy but which kitchen appliance is really quiet?	User Experience, Design and Materials, Machine Performance	Machine Performance
Tiny Small and versatile	Design and Materials, Machine Performance	NONE
To buy Excellent product easy, fast and not dirty	User Experience, Machine Performance, Maintenance and Durability	NONE
Simple to use As described, excellent coffee	User Experience, Coffee Quality	NONE
Good product Excellent and silent, completely satisfied	Machine Performance, User Experience	NONE
Un must Excellent product, good proportion between quality and price. Bright color. Tasty coffee with a varied and inexpensive assortment of capsules. I recommend it.	Price & worth, Coffee Quality, Capsules and Compatibility, Design and Materials, User Experience	NONE
Helpful Thanks beautiful and very comfortable	User Experience, Design and Materials	NONE
Good Italian Espresso coffee Excellent design and great ease of use	Coffee Quality, Design and Materials, User Experience	NONE
working Excellent a little noisy. :winking_face_with_tongue:	Machine Performance	Machine Performance
Sent for assistance After four months the car crashed. Sent for assistance. Until then it was perfect, coffee brewed well, perhaps not too hot, easy to clean and simple to use, then ....	Machine Performance, Maintenance and Durability, User Experience	Maintenance and Durability
Very easy! I already knew the product, ordered as Christmas gifts for in-laws and parents, given the ease of use !! Small size, great even for small spaces!	User Experience, Design and Materials	NONE
Coffee machine Excellent product and easy to use ... perfect and tasty coffee.	Machine Performance, User Experience, Coffee Quality	NONE
Speed in making coffee and a wide selection of pods Excellent coffee machine	Machine Performance, Capsules and Compatibility, Brand Awareness	NONE
Buy it A unique product that is easy to use, in short, to say more, buy it	User Experience	NONE
product shipped for repair and no update after one month after not even 4 months the product was no longer working and I had to send it in for repair. After a month I still await an update.	Maintenance and Durability, Services and Logistics	Maintenance and Durability, Services and Logistics
EXCELLENT EVEN FOR THE It is not the first Lavazza capsule machine in my way that I buy ... I needed a new one for the office and I wanted to spend as little as possible ... This cost € 49 and the reviews were positive so I decided to buy it ... The machine is really a wonderful ... It remains in stand-by so it doesn't consume anything then since you click The only button on the machine body within 20 seconds is ready for the coffee that surprisingly comes out really hot ... and even using second choice capsules I drink a coffee of excellent quality ... The trick is in the temperature of the water that really comes out at a high temperature and ideal for making excellent coffee ... Not only that ... Using a common capsule from the cheap tea bought in the supermarket this small machine manages to fill a glass of plastic without losing the temperature by offering you a burn tea ... In this version you have to unload the capsule by hand by unhooking the drawer ... I find it a very practical solution so that the pods do not remain glued and do not end up clogging the drawer and causing blockages ... This also allows you to have a very very compact machine ... Truly an excellent product ...	Machine Performance, Coffee Quality, User Experience, Design and Materials, Price & worth, Capsules and Compatibility	NONE
Lavazza my way Tiny Good coffee, in line with other Lavazza machines in my own way. Only flaw: the collector for used capsules is missing, every time you make a coffee you have to take out and throw away the used capsule, you get used to the new method easily.	Coffee Quality, Brand Awareness, User Experience	User Experience
Great Easy to use with compatible capsules that you can buy very easily in various supermarkets	User Experience, Capsules and Compatibility	NONE
Great Bought on recommendations from friends, great coffee	Coffee Quality, User Experience	NONE
Great Easy to use, practical and excellent coffee. It is not the first time that I use a Lavazza product and it never disappoints!	User Experience, Coffee Quality, Brand Awareness	NONE
my peaceful awakening exceptional product, it makes the coffee better than that of the bar	Coffee Quality, Machine Performance	NONE
We are not quite there The coffee after all in taste is not bad, but we are not there precisely because, you have to press to stop the coffee dispensing, otherwise it goes on indefinitely, then you must also hold the cup with your hand or with the vibrations it comes out of the plate to then to tip over, and attention is not a defect of some machines but a characteristic of all. I don't really understand how to make such a product, but do they test them first? Or not?. Disappointed I would not recommend it for sure	Coffee Quality, User Experience, Machine Performance	User Experience, Machine Performance
too vibrant too noisy	Machine Performance	Machine Performance
Satisfied Satisfied for use and for its design	User Experience, Design and Materials	NONE
Comfortable, functional and compact After about a year of use, I can tell myself fully satisfied with the product.	User Experience, Machine Performance, Design and Materials	NONE
excellent coffee maker a bit noisy, but makes a great coffee to taste.	Coffee Quality, Machine Performance	Machine Performance
Great article Fully satisfied !!!	NONE	NONE
Great product. Personal use.	NONE	NONE
Funny Very nice	Design and Materials	NONE
Compact but effective I had already used the previous version. Excellent Lavazza coffee, this machine seems to me more robust and efficient	Machine Performance, Brand Awareness	NONE
Gorgeous Excellent machine, Council	Machine Performance	NONE
Awesome !!! I bought it for a vacation home in Rome, nice and practical to use .....	User Experience, Design and Materials	NONE
Excellent coffee Great product ... makes a good coffee. Fast Shipping	Coffee Quality, Machine Performance, Services and Logistics	NONE
Completely satisfied Completely satisfied	NONE	NONE
Simple Very happy with the purchase. Very simple to use and takes up little space	User Experience, Design and Materials	NONE
Not bad. Not bad, but the superior model was better, the one with the handle at the top for piercing the waffles.	User Experience, Machine Performance	NONE
Small and functional Excellent coffee machine easy to use and to clean the coffee is very good quality excellent price the advice very small you put it everywhere	Machine Performance, User Experience, Coffee Quality, Price & worth, Design and Materials	NONE
simple operation and excellent coffee as the title suggests it is very simple to use and in my opinion Lavazza coffee is a great coffee but if you want you can use compatible pods without any problem	User Experience, Coffee Quality, Capsules and Compatibility, Brand Awareness	NONE
Great I recommend it to everyone	NONE	NONE
Steam ironing Great price quality	Price & worth	NONE
Ok Ok	NONE	NONE
Small but exceptional machine. Wonderful product. Ready in 2 minutes, very easy to use, 1 button, beautiful, with Lavazza capsules it is an excellent coffee. I would definitely buy it back	Machine Performance, User Experience, Coffee Quality, Design and Materials, Brand Awareness	NONE
Molto bella e pratica The tiny model has a beautiful design, it is not bulky and practical.	Design and Materials, User Experience	NONE
Excellent, highly recommended. Product arrived on time, practical, functional, easy to clean and cheap, the only flaw and that is a bit noisy and the vibrations during use are excessive but the coffee comes out like that of the creamy and tasty bar, the Advice.	User Experience, Maintenance and Durability, Price & worth, Coffee Quality, Machine Performance	Machine Performance
Great excellent beautiful and easy to use. excellent coffee of course with bourbon cap.	User Experience, Design and Materials, Coffee Quality, Capsules and Compatibility	NONE
Happy wife Excellent value for money	Price & worth	NONE
Strongly discouraged I do not recommend this product because at the same price there are models of other brands that are much better and this is all made of plastic, makes a lot of noise and has a really small tank: you will have to fill it continuously. The car is only beautiful aesthetically but otherwise it's not really worth it. Furthermore you can make only coffee and not other beverages as with Dolce Gusto. I made the return and took at the same price a model that makes many drinks that was free with 64 capsules included in the box, this one has only 9.	Design and Materials, Machine Performance, Price & worth, User Experience, Capsules and Compatibility	Machine Performance, Design and Materials, Price & worth, User Experience, Capsules and Compatibility
Reliable Excellent as always. It's my third car	Brand Awareness, Machine Performance	NONE
The best I have tried various machines both of the same brand and of other brands but this is the best. Very small, very easy to clean. Not having the container for the capsules is a good thing because it is used and immediately thrown away without accumulation of coffee and bad smells.	Machine Performance, Brand Awareness, User Experience, Maintenance and Durability	NONE
Great Arrived on schedule. Packed well, no flaws and it works great	Machine Performance, Services and Logistics	NONE
I wash my way TOP Great product Easy to use Quick Delivery	User Experience, Machine Performance, Services and Logistics	NONE
I wouldn't buy it again after a week and already very noisy	Machine Performance	Machine Performance
satisfied Lavazza is a more than reliable brand. Both for espresso machines and coffee both in pods and in powder form for moka.	Brand Awareness, Coffee Quality	NONE
Top Great product as always the top	Brand Awareness, Machine Performance	NONE
Ultrafast replacement I returned the first one due to a breakdown, the new device arrived after 26 hours.Amazon really exceptional in the service.Excellent machine, easy to use.For the vibrations that make the cup move I made a change: I placed in the holes of the tray collect water 4 aluminum rivets.	Services and Logistics, Machine Performance, User Experience	Machine Performance
It vibrates a lot when you put the cup down! The car is small, not bulky and very pretty. But it vibrates a lot and the cup moves so you have to keep it otherwise it goes around and the coffee is lost around. This thing is certainly not positive!	Machine Performance, Design and Materials	Machine Performance
Perfect Yummy ... Try it now! It works great, beautiful and very functional, delicious and very hot coffee, it heats up immediately!	Machine Performance, Coffee Quality, User Experience, Design and Materials	NONE
Perfect Quality and efficiency, the brand says it all, taken in place of the old one in my own way	Machine Performance, Brand Awareness, User Experience	NONE
Excellent value for money in compact sizes The machine, moreover taken on offer, has an excellent value for money. It is characterized by ease of use and easy cleaning of its parts, and its compactness saves space on the kitchen top.	Price & worth, User Experience, Maintenance and Durability, Design and Materials	NONE
Great car I was wrong the color I preferred black but it's okay the same as coffee is great I thought worse but instead I changed my mind I'm satisfied the advice with the Bourbon coffee	Coffee Quality, User Experience, Capsules and Compatibility	NONE
Practical and easy to use Small and easy to use. Too bad not to have lavazza herbal tea beverage capsules	User Experience, Design and Materials, Capsules and Compatibility	Capsules and Compatibility
Easy to use exquisite coffee It really feels like dj having coffee at the bar. Excellent product for espresso at home and very easy to use.	User Experience, Coffee Quality, Brand Awareness	NONE
Lavazza caps Yummy coffee!	Coffee Quality, Brand Awareness	NONE
Simple and effective Very easy to use, a few seconds and is ready for delivery. Having few moving parts seems more durable than other coffee machines with more automatisms. Obviously the taste of coffee depends on the quality chosen, but the machine delivers without hesitation producing a full-bodied coffee with a nice layer of thick foam. Very satisfied.	User Experience, Machine Performance, Maintenance and Durability, Coffee Quality	NONE
Very easy to use. Makes coffee very well.	User Experience, Coffee Quality	NONE
Very beautifull Fantastic	Design and Materials	NONE
Not very creamy coffee If you like a nice creamy coffee this machine is not for you. On the other hand it is one of the few machines that can really be thoroughly cleaned. Restored.	Coffee Quality, Maintenance and Durability	Coffee Quality
Coffee machine Excellent coffee machine, I was very satisfied with the product. Thanks.	Machine Performance, Coffee Quality, Brand Awareness	NONE
the quality of coffee a bit noisy	Coffee Quality	Machine Performance
"Compact, practical, a bit noisy but I&#39;m satisfied Arrived 1 day in advance. Excellent Amazon delivery with very attentive employee to respect Covid standards, and very kind. Compact and pretty car. I purchased compatible Bourbon capsules in a trial kit, the coffee comes out with a nice bar cream, whatever I wanted. Two notes on the machine: the quantity of coffee must be manually adjusted by pressing the dispensing button when the desired one has been reached. At the end of the brewing, I recommend removing the cup immediately because the machine ends with a little ""white"" water which could alter the body of the coffee. For the moment I am satisfied and I also recommend it for the price."	User Experience, Machine Performance, Coffee Quality, Price & worth, Services and Logistics	Machine Performance
as in the photo perfect gift	Design and Materials	NONE
EFFICIENCY practical and reliable product advice	Machine Performance, User Experience	NONE
I would buy it again Excellent ready in seconds	Machine Performance, User Experience	NONE
Easy to use Easy to use Cleaning with each coffee made unlike the old type of lavazza in my own way	User Experience, Maintenance and Durability, Brand Awareness	NONE
Practice Practical to use and makes exceptional coffees	User Experience, Coffee Quality	NONE
Great product Beautiful Orange color !!	Design and Materials, User Experience	NONE
More powerful engine Excellent machine with renewed and powerful pump	Machine Performance, Brand Awareness	NONE
Simple machine to use Simple machine with few frills. It does its duty. Easy to use. Quality in line with the price	User Experience, Machine Performance, Price & worth	NONE
very easy to use very hot coffee beautiful functional as described, satisfied !!!	User Experience, Coffee Quality, Design and Materials, Machine Performance	NONE
Excellent product Useful product, easy to use and takes up little space .... I recommend it .....	User Experience, Machine Performance, Design and Materials	NONE
Great Excellent purchase It works great	Machine Performance	NONE
good buy perfect as always, excellent coffee machine	Machine Performance, Brand Awareness	NONE
TOP I bought it and before writing a review, I waited a while. it is compact, aesthetically beautiful and the coffee is really excellent. I recommend it to all those who want a not bulky, but efficient product.	Machine Performance, Design and Materials, Coffee Quality	NONE
Excellent value for money. Excellent quality price, lacking in the taste of coffee and for the small container for dripping.	Price & worth, Coffee Quality	Coffee Quality
Who leaves the old way for the new ... I came from old tiny and I was much better ... too noisy and the coffee cup is likely to fall due to vibrations	Machine Performance, User Experience, Brand Awareness	Machine Performance, User Experience
Small, cheap but functional Even if it costs little, it is fine and the quality is lavazza. Immediately hot (30 sec). Of course, a capsule insertion compartment not completely removable and perhaps with collection would have been the top, but for 50 euros I am not complaining for sure!	Price & worth, Machine Performance, Coffee Quality	NONE
Defect Unfortunately it is noisy, the only flaw.	NONE	Machine Performance
Great buy Nice little noisy model satisfied	Price & worth, Machine Performance	Machine Performance
A coffee like at the bar !!! Arrived earlier than expected, easy to use. Excellent product, I recommend it. Thanks amazon	Coffee Quality, User Experience, Services and Logistics, Price & worth	NONE
The little one at home Irreplaceable. Small but very functional. Happy with my purchase!	User Experience, Machine Performance	NONE
Simple and no frills I've been buying Lavazza pod machines for years in my own way and I've always had a great time. I bought this for my parents who, not being a first-hairer, were not comfortable with my car because it was too complicated to use. This one, on the other hand, is very simple, you put one pod at a time and as soon as it is done you throw it away, not having a used pod collection tank. It has a single button with which it turns on / off and makes coffee brew. Very simple to use and above all economical. The only negative things I found are that it is barely noisier than other higher but more expensive models and that you have to remove the cup from under the dispenser immediately as soon as you press the switch to stop the coffee dispensing, because otherwise you will end up with the cup. full of water. Not having the tank to collect the used capsules and the post dispensing purge water, this obviously is purged outside from where the coffee also comes out. Nothing serious, just remove the cup immediately from under the dispenser. For the 40 € I paid for it, that's just fine. Recommended for those looking for a minimal and simple to use pod machine. But if you want an excellent machine, especially very quiet, take the Lavazza a Modo Mio Idola	User Experience, Price & worth, Machine Performance	Machine Performance
Good coffee It does its service in an excellent way, good coffee!	Coffee Quality, Machine Performance	NONE
Tiny Excellent coffee machine at a modest price. Small compact and aesthetically very pleasant. I would buy it again	Price & worth, Design and Materials, Machine Performance	NONE
Great Practical and easy to use	User Experience, Machine Performance	NONE
Lavazza a Modo Mio Tiny Coffee Machine, 1450 W, 0.75 Liters, Black precise and punctual amazon delivery the product has an excellent quality / price ratio, very satisfied recommended	Services and Logistics, Price & worth, Machine Performance, Brand Awareness	NONE
Great Arrived on time, great coffee works great	Services and Logistics, Coffee Quality, Machine Performance	NONE
Very easy Small, very easy to use and to clean.	User Experience, Maintenance and Durability, Design and Materials	NONE
"recommended The minu 'I had before vibrated less, but I have to be honest the coffee does it much better, much creamier and frothier, if you then combine this valid coffee machine with the Bourbon coffee capsules ... it becomes a ""Show"". recommended"	Coffee Quality, Machine Performance, Capsules and Compatibility	Machine Performance
EASY AND BLONDE, BUT ... After a few months I need to change the seals, I think, because mine started to lose drops of coffee.	NONE	Maintenance and Durability
very simple and comfortable product easy to use, to clean, excellent	User Experience, Maintenance and Durability, Machine Performance	NONE
Wonderful Perfect !!!!!	Machine Performance	NONE
show the best coffee machine there is!	Machine Performance, Brand Awareness	NONE
My way coffee maker Arrived early !! fast and delicious coffee !! I advise	Services and Logistics, Coffee Quality, Machine Performance, User Experience	NONE
But what did you put in the coffee :sparkling_heart::sparkling_heart: Fantastic, it is true it vibrates slightly but it is so easy to clean and use that who cares if it vibrates !!! It is compact and elegant and heats up in an instant ... I love it!	User Experience, Maintenance and Durability, Machine Performance, Design and Materials, Coffee Quality	Machine Performance
Perfect Excellent machine for having a coffee at home, very easy to use and clean. Very small and really elegant design	User Experience, Maintenance and Durability, Design and Materials, Machine Performance	NONE
Ok Ok	NONE	NONE
Great value for money, but ... The machine is easy to use and clean, moreover it is often found on offer to seize the opportunity immediately. The only drawback is the excessive vibration caused by the machine when dispensing coffee, it makes even a ceramic cup tremble. The noise is also quite annoying. For the rest, if you surpass these defects and you like a quality coffee (I use the original pods), it is a must purchase!	Price & worth, User Experience, Maintenance and Durability, Coffee Quality	Machine Performance
great car it is the second purchase, this has been donated and really appreciated, it makes an excellent coffee, it is very easy to use and to clean, it makes little noise. not at all bulky.	User Experience, Maintenance and Durability, Machine Performance, Coffee Quality, Design and Materials	NONE
Lavazza in my own way, a guarantee Excellent coffee machine, Lavazza in my way never disappoints expectations, a guarantee. Easy to use and clean .. even the first time you use it you get a good coffee. Arrived quickly with first courses, even 2 days in advance	Brand Awareness, Coffee Quality, User Experience, Maintenance and Durability, Services and Logistics, Machine Performance	NONE
Extraordinary machine An extraordinary coffee machine, both for ease of cleaning but also for use! The coffee comes out just like the bar and is also very beautiful and elegant! I have tried various machines but these from Lavazza are in my opinion the best! Great price! Arrived perfectly packed and sealed! Highly recommended! Also a few Lavazza capsules as a gift!	Machine Performance, User Experience, Maintenance and Durability, Coffee Quality, Design and Materials, Price & worth, Brand Awareness	NONE
Great Excellent machine, delicious coffee, wide selection of blends (also compatible), very easy to use. Fast delivery on Sunday	Coffee Quality, User Experience, Machine Performance, Services and Logistics, Capsules and Compatibility	NONE
lavazza ammo my tiny I cannot evaluate the product as it is returned because it is defective	NONE	Machine Performance
Good Excellent machine, delicious coffee:thumbs_up_medium-light_skin_tone:	Coffee Quality, Machine Performance	NONE
Wonderful Perfect !!!!!	Machine Performance	NONE
for me it remains the best no problem, no catch! top!	Machine Performance	NONE
:thumbs_up_light_skin_tone::thumbs_up_light_skin_tone::thumbs_up_light_skin_tone: great product everything works with a button	Machine Performance, User Experience	NONE
Easy to use Compact, beautiful line. Given the ease of use, it was a gift much appreciated by the grandmother. Lavazza coffee is good and creamy.	User Experience, Design and Materials, Coffee Quality, Machine Performance	NONE
Ok Very nice, working. makes excellent coffee	Coffee Quality, Machine Performance, Design and Materials	NONE
Great exactly as in the description, arrived in optimal times	Services and Logistics, Machine Performance	NONE
Function I liked everything	Machine Performance	NONE
that works well I'm satisfied for now it's very easy to use and to clean the coffee is good. all ok	User Experience, Maintenance and Durability, Coffee Quality, Machine Performance	NONE
A show. Fast delivery to say the least. Ordered approximately at midday arrived the next day. :-)) Teleportation. Coffee works very well (a cream) I recommend the article there is nothing better.	Services and Logistics, Coffee Quality, Machine Performance	NONE
Lavazza a Modo Mio Tiny Coffee Machine, 1450 W, 0.75 Liters, Red Lavazza a Modo Mio Tiny Coffee machine, 1450 W, 0.75 Liters, Red excellent price when it drops to around 50 euros	Price & worth, Machine Performance, Brand Awareness	NONE
Lavazza coffee machine TINY in my way shiny red wonder and silent and makes a good coffee. The thing I liked the most is the shape of the coffee machine, the shiny red color and the little space it occupies then makes a coffee spitting peoprio from the bar, full-bodied and with a wonderful and silent foam, the advice ordered on Friday at 11.00 am arrived with prime Amazon Saturday exactly the day after Amazon forever the absolute number 1 thanks for existing.	Coffee Quality, Design and Materials, Machine Performance, Services and Logistics, Brand Awareness	Machine Performance
Happy Beautiful in design and very easy to use.	User Experience, Design and Materials	NONE
Value for money ok Great coffee in a small space	Price & worth, Coffee Quality, Design and Materials	NONE
Compact and functional Bought for the tavern, where in the summer we make a daily use of it. Compact and functional, it is a machine suitable for family use. Hot in a few seconds. Timely delivery as always.	Machine Performance, User Experience, Services and Logistics, Design and Materials	NONE
Does his duty Slightly noisy but does its duty. the coffee comes out a cream even the non-Lavazza one. Great	Coffee Quality, Machine Performance, Capsules and Compatibility	Machine Performance
excellent product also seen the price I paid for it after years of using it, I can't complain, it's fine, easy to clean and not very noisy	Price & worth, Maintenance and Durability, Machine Performance	NONE
Tiny coffee machine Great gift idea, small, handy and easy to use. My husband makes his own coffee. Finally ... And then the quality of the coffee is guaranteed by Lavazza.	User Experience, Design and Materials, Coffee Quality, Machine Performance, Brand Awareness	NONE
Great! Small and compact, it does everything it needs and also has a nice design. recommended	Design and Materials, Machine Performance, User Experience	NONE
All ok All ok	NONE	NONE
Awesome Beautiful and easy to clean	Design and Materials, Maintenance and Durability	NONE
Great product The product is really functional, the coffee is excellent and the whole thing is very simple to use. The article, by the way, arrived a day in advance. Excellent!	Machine Performance, Coffee Quality, User Experience, Services and Logistics	NONE
Wow too fussy. Compliment !! Beautiful!	Design and Materials	NONE
Good choice. Excellent, discreet, it does not take up much space, given its small size, but this does not mean that the taste of coffee is penalized, on the contrary. Satisfied.	Design and Materials, Coffee Quality, Machine Performance, User Experience	NONE
Excellent success Excellent success, compared to the previous one compatible, there are no comparisons, let's see how it will behave in the coming days. Buy 12 or 13 toast pods	Capsules and Compatibility, Machine Performance	NONE
Can you please explain to us why your vote of satisfaction with the case? Small and practical	Design and Materials, User Experience	NONE
It is very noisy and trembles a lot It is very noisy and trembles a lot	NONE	Machine Performance
Simple and fast. Good coffee Coffee machine easy to use and if used with right capsules makes a good coffee.	Coffee Quality, User Experience, Machine Performance, Capsules and Compatibility 	NONE
